Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0001,thrL,200.993,133.951,141.073,113.662,177.331,129.925,255.868,172.527
b0002,thrA,67.96,49.944,52.935,52.032,54.942,48.415,57.195,96.862
b0003,thrB,75.804,50.627,56.671,59.94,64.465,47.486,61.557,105.865
b0004,thrC,96.993,59.665,73.719,66.202,76.789,59.757,88.643,148.31
b0005,yaaX,41.319,25.685,25.745,19.996,41.206,17.895,25.251,28.919
b0006,yaaA,35.872,42.749,39.029,45.256,32.595,41.989,55.758,60.043
b0007,yaaJ,11.041,6.231,9.778,10.339,10.028,8.598,23.338,18.597
b0008,talB,569.227,713.616,727.296,780.881,544.942,659.253,956.676,1089.369
b0009,mog,83.567,65.64,65.551,65.207,81.848,57.574,73.589,87.31
b0010,satP,36.978,90.524,61.557,61.283,44.281,92.396,33.97,20.427
b0011,yaaW,1.044,1.167,1.967,1.35,1.224,1.689,1.587,2.643
b0012,mbiA,1.022,0.312,0,0.536,0.699,0.276,0.555,0.268
b0013,yaaI,1.472,0.936,0.514,0.322,0.839,0.882,1.066,0.964
b0014,dnaK,157.047,341.785,307.021,308.087,177.003,288.112,214.925,258.488
b0015,dnaJ,100.839,131.701,101.226,97.419,102.666,102.967,89.087,103.757
b0016,insL-1,34.134,38.777,33.804,37.943,36.433,30.978,39.313,46.729
b0018,mokC,10.883,5.894,6.935,10.667,13.297,8.826,16.443,9.915
b0019,nhaA,83.445,78.765,81.367,87.472,87.91,78.876,67.199,64.315
b0020,nhaR,52.426,44.134,37.978,43.269,54.326,35.936,36.594,42.193
b0021,insB-1,16.367,4.581,4.71,3.386,16.567,4.75,6.941,6.449
b0022,insA-1,53.322,22.713,15.35,16.119,59.695,25.799,20.7,25.001
b0023,rpsT,4916.805,4670.872,3895.872,4050.001,6199.228,6631.089,4102.879,2509.041
b0024,yaaY,14.86,6.459,8.907,6.661,18.627,6.628,14.658,13.221
b0025,ribF,170.623,155.31,147.544,146.469,183.892,155.083,183.108,196.135
b0026,ileS,226.178,243.806,236.149,246.661,214.313,203.824,230.291,308.441
b0027,lspA,226.688,208.3,181.845,200.435,206.96,183.203,201.588,239.961
b0028,fkpB,163.625,136.344,110.967,124.276,168.192,111.009,131.705,148.498
b0029,ispH,129.878,104.889,97.167,92.221,123.988,85.285,113.551,148.677
b0030,rihC,19.548,22.526,22.597,24.767,22.743,17.938,39.978,47.716
b0031,dapB,70.778,69.018,74.543,81.438,66.288,69.764,99.176,104.725
